timestamp(seconds),value
0.0,159.950999984
0.1,145.968385981
0.2,146.733603278
0.3,144.484324843
0.4,143.974183664
0.5,143.487229213
0.6,142.977076977
0.7,142.235057465
0.8,141.724905229
0.9,142.235057465
1.0,140.495920209
1.1,140.240855148
1.2,139.730702913
1.3,139.243748461
1.4,138.733607283
1.5,137.991576714
1.6,138.733607283
1.7,136.994470027
1.8,136.484328848
1.9,136.252439458
2.0,135.742298279
2.1,135.2321571
2.2,134.745191592
2.3,134.235050413
2.4,135.00026771
2.5,133.237954783
2.6,132.750989275
2.7,132.750989275
2.8,132.008969763
2.9,131.498817527
3.0,130.988676349
3.1,130.756786958
3.2,131.243752466
3.3,129.50461521
3.4,129.249539093
3.5,128.994474032
3.6,128.507519581
3.7,127.997367345
3.8,127.742302284
3.9,127.510412894
4.0,128.252443463
4.1,126.258241146
4.2,126.003165028
4.3,125.748099967
4.4,125.261134459
4.5,125.006069398
4.6,124.51910389
4.7,124.51910389
4.8,124.75099328
4.9,123.011867081
5.0,123.266932142
5.1,122.756790963
5.2,122.269836512
5.3,121.759684276
5.4,121.504619215
5.5,122.756790963
5.6,120.762588646
5.7,120.252436411
5.8,120.252436411
5.9,119.765481959
6.0,119.255340781
6.1,119.02345139
6.2,118.76838633
6.3,120.020558077
6.4,117.771279643
6.5,117.516214582
6.6,117.516214582
6.7,117.029249074
6.8,116.519107895
6.9,116.008966716
7.0,117.261138464
7.1,117.029249074
7.2,114.779981696
7.3,115.011860029
7.4,114.779981696
7.5,114.26982946
7.6,113.782875009
7.7,113.782875009
7.8,115.266936147
7.9,114.014764399
8.0,112.275627143
8.1,112.530703261
8.2,112.020562082
8.3,111.765485965
8.4,111.278531513
8.5,112.762581594
8.6,112.762581594
8.7,111.765485965
8.8,109.771283648
8.9,109.771283648
9.0,109.539394257
9.1,109.029253079
9.2,108.774176961
9.3,110.536500944
9.4,109.771283648
9.5,107.29012688
9.6,107.522005213
9.7,107.29012688
9.8,107.035050762
9.9,106.524909583
10.0,108.28722251
10.1,108.5191119
10.2,107.035050762
10.3,105.272726778
10.4,105.272726778
10.5,104.785772327
10.6,104.530696209
10.7,106.037944075
10.8,106.524909583
10.9,105.782879014
11.0,103.278524461
11.1,103.278524461
11.2,102.79157001
11.3,102.536493892
11.4,102.281428831
11.5,103.278524461
11.6,103.046646128
11.7,103.046646128
11.8,101.284322144
11.9,101.029246027
12.0,100.797367693
12.1,100.287226515
12.2,100.032150397
12.3,101.284322144
12.4,101.029246027
12.5,99.5451959456
12.6,99.2901198277
12.7,98.8031653765
12.8,98.5480892586
12.9,98.2930241978
13.0,99.8002610064
13.1,100.797367693
